key,version,date_to,date_from,ano,numero,subempenho,indicador_subempenho,cod_modalidade_empenho,codigo,nome
196,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,220,87,x,0,195,"SEM TIPO INFORMADO"
197,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,222,88,x,0,196,"SEM TIPO INFORMADO"
198,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,222,89,x,0,197,"SEM TIPO INFORMADO"
199,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,228,83,x,0,198,"SEM TIPO INFORMADO"
200,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,228,89,x,0,199,"SEM TIPO INFORMADO"
201,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,228,91,x,0,200,"SEM TIPO INFORMADO"
202,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,231,85,x,0,201,"SEM TIPO INFORMADO"
203,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,231,86,x,0,202,"SEM TIPO INFORMADO"
204,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,231,92,x,0,203,"SEM TIPO INFORMADO"
205,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,232,82,x,0,204,"SEM TIPO INFORMADO"
206,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,232,83,x,0,205,"SEM TIPO INFORMADO"
207,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,232,87,x,0,206,"SEM TIPO INFORMADO"
208,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,232,90,x,0,207,"SEM TIPO INFORMADO"
209,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,235,84,x,0,208,"SEM TIPO INFORMADO"
210,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,245,86,x,0,209,"SEM TIPO INFORMADO"
211,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,245,88,x,0,210,"SEM TIPO INFORMADO"
212,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,245,90,x,0,211,"SEM TIPO INFORMADO"
213,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,259,84,x,0,212,"SEM TIPO INFORMADO"
214,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,282,81,x,0,213,"SEM TIPO INFORMADO"
215,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,282,84,x,0,214,"SEM TIPO INFORMADO"
216,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,295,84,x,0,215,"SEM TIPO INFORMADO"
217,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,295,91,x,0,216,"SEM TIPO INFORMADO"
218,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,296,87,x,0,217,"SEM TIPO INFORMADO"
219,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,296,88,x,0,218,"SEM TIPO INFORMADO"
220,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,297,86,x,0,219,"SEM TIPO INFORMADO"
221,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,297,90,x,0,220,"SEM TIPO INFORMADO"
222,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,297,92,x,0,221,"SEM TIPO INFORMADO"
223,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,299,87,x,0,222,"SEM TIPO INFORMADO"
224,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,299,89,x,0,223,"SEM TIPO INFORMADO"
225,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,299,90,x,0,224,"SEM TIPO INFORMADO"
226,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,300,87,x,0,225,"SEM TIPO INFORMADO"
227,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,300,88,x,0,226,"SEM TIPO INFORMADO"
